1,陈政文,武汉鄂斯鸿眸科技有限公司
2,夏雅惠,上海毕得医药科技有限公司
3,李仪琳,华东师范大学
4,徐紫富,同济大学
5,李成白,兰州大学
6,张冠杰,北京西湖科技有限公司
7,俞星如,上海睿士科技有限公司
8,陈淑妤,上海交通大学
9,林玟书,上海交通大学
10,陈虹荣,扬州大学
11,查瑜舜,复旦大学
12,陈百菁,中国科学院上海有机化学研究所
13,王美珠,四川大学
14,蒋廷湖,华东理工大学 
15,林培伦,复旦大学
16,黄育霖,上海市上海中学
17,黄彦宜,上海交通大学
18,周逸珮,上海毕得医药科技有限公司
19,辛翔坤,大龙兴创实验仪器（北京）股份公司
20,吴耀华,上海大学
21,陈翊依,上海市上海中学
22,廖雅君,上海易恩化学技术有限公司
23,王恩龙,武汉理工大学
24,阮柔治,上海埃松气流控制技术有限公司
25,郭芳天,武汉大学
26,阮建安,华东理工大学
27,吴韵如,浙江大学
28,黄秋萍,上海大学
29,邱宜瑶,武汉鄂斯鸿眸科技有限公司
30,林珮瑜,上海组波智能仪器科技有限公司
31,雷进宝,南京大学
32,黄伟依,上海交通大学 
33,彭郁婷,中国科学院上海有机化学研究所
34,杨绍瑜,七宝中学
35,方美君,沃特世科技（上海）有限公司
36,梁佩芬,上海易恩化学技术有限公司
37,杨雅萍,南方科技大学
38,陈婉璇,北京大学
39,张博海,同济大学
40,周琼玟,华东师范大学
41,张俞幸,海军军医大学
42,潘右博,上海睿士科技有限公司
43,梁哲宇,上海交通大学
44,李姿婷,复旦大学
45,张孟涵,中国科学院理化研究所
46,黎芸贵,南开大学
47,蔡宜芸,上海组波智能仪器科技有限公司
48,吉茹定,东华大学
49,赖怡宜,上海市世外中学
50,金育木,高桥中学
51,江奕云,中国科学院上海有机化学研究所
52,吴美隆,上海交通大学
53,金雅琪,上海外国语大学附属外国语学校
54,洪振霞,南方科技大学
55,朱政廷,中山大学
56,吴怡伶,北京伊诺凯科技有限公司
57,林彦韦,武汉鄂斯鸿眸科技有限公司
58,李祯韵,清华大学
59,杨舒南,同济大学
60,陈文婷,哈尔滨工业大学
61,何美玲,湖南大学
62,李必辰,海军军医大学
63,黄文旺,厦门大学
64,舒绿珮,中国科学技术大学
65,周孟儒,中国海洋大学
66,钟庭玮,合肥微元素实验室设备有限公司
67,吴思翰,西北工业大学附属中学
68,高成彦,复旦大学
69,黄佩珊,上海科技大学
70,秦娇真,安徽凯泰莱铂科技有限公司
71,林子帆,华东理工大学
72,林乐妹,上海埃松气流控制技术有限公司
73,杨佩芳,北京大学
74,陈信峰,苏州大学
75,黄蓉芳,深圳晶泰科技有限公司
76,黄雅慧,杭州惠创仪器设备有限公司
77,胡睿纯,复旦大学
78,陈昭祥,安徽国为智能科技有限公司
79,刘柏宏,南开大学
80,郭贵妃,复旦大学
81,郑伊雯,北京大学
82,林婉婷,上海汇析精密仪器有限公司
83,蔡政琳,上海理工大学
84,王雅娥,中国科学院上海有机化学研究所
85,郑士易,上海应用技术大学 
